two-sum,Easy,41070,1327
add-two-numbers,Medium,23221,4483
longest-substring-without-repeating-characters,Medium,30796,1326
reverse-integer,Medium,9191,11215
string-to-integer-atoi,Medium,2656,7850
palindrome-number,Easy,8082,2373
integer-to-roman,Medium,4977,4891
roman-to-integer,Easy,8359,485
longest-common-prefix,Easy,11687,3577
remove-nth-node-from-end-of-list,Medium,14068,582
valid-parentheses,Easy,17114,894
merge-two-sorted-lists,Easy,16312,1437
remove-duplicates-from-sorted-array,Easy,9465,13041
remove-element,Easy,4901,6586
find-the-index-of-the-first-occurrence-in-a-string,Medium,1053,80
search-insert-position,Easy,10835,512
valid-sudoku,Medium,7547,845
rotate-image,Medium,13127,608
powx-n,Medium,6249,6691
maximum-subarray,Medium,26823,1202
length-of-last-word,Easy,2299,138
plus-one,Easy,6024,4620
add-binary,Easy,6395,672
sqrtx,Easy,5428,3736
climbing-stairs,Easy,16207,486
search-a-2d-matrix,Medium,10691,322
remove-duplicates-from-sorted-list,Easy,6389,221
merge-sorted-array,Easy,8588,783
binary-tree-inorder-traversal,Easy,10371,490
validate-binary-search-tree,Medium,13346,1076
same-tree,Easy,7765,162
symmetric-tree,Easy,11743,263
binary-tree-level-order-traversal,Medium,11761,228
maximum-depth-of-binary-tree,Easy,9180,152
binary-tree-level-order-traversal-ii,Medium,3952,305
convert-sorted-array-to-binary-search-tree,Easy,8723,439
convert-sorted-list-to-binary-search-tree,Medium,5441,125
balanced-binary-tree,Easy,7918,446
minimum-depth-of-binary-tree,Easy,5159,1044
path-sum,Easy,7581,903
path-sum-ii,Medium,6533,135
flatten-binary-tree-to-linked-list,Medium,9725,496
pascals-triangle,Easy,8640,287
pascals-triangle-ii,Easy,3354,288
best-time-to-buy-and-sell-stock,Easy,21840,693
valid-palindrome,Easy,5532,6375
single-number,Easy,12350,470
linked-list-cycle,Easy,10864,923
linked-list-cycle-ii,Medium,9645,686
binary-tree-preorder-traversal,Easy,5468,146
binary-tree-postorder-traversal,Easy,5329,161
reverse-words-in-a-string,Medium,5146,4432
intersection-of-two-linked-lists,Easy,11852,1072
two-sum-ii-input-array-is-sorted,Medium,8354,1127
excel-sheet-column-title,Easy,3408,499
majority-element,Easy,12986,417
excel-sheet-column-number,Easy,3841,310
binary-search-tree-iterator,Medium,7108,431
repeated-dna-sequences,Medium,2562,459
reverse-bits,Easy,3941,996
number-of-1-bits,Easy,4706,997
tenth-line,Easy,304,393
happy-number,Easy,7503,947
remove-linked-list-elements,Easy,6464,192
isomorphic-strings,Easy,5577,1078
reverse-linked-list,Easy,15853,266
contains-duplicate,Easy,7576,1065
contains-duplicate-ii,Easy,4267,2419
implement-stack-using-queues,Easy,3785,938
invert-binary-tree,Easy,10510,149
summary-ranges,Easy,2372,1297
majority-element-ii,Medium,6473,320
power-of-two,Easy,4523,332
implement-queue-using-stacks,Easy,4707,303
palindrome-linked-list,Easy,12634,702
lowest-common-ancestor-of-a-binary-search-tree,Medium,8438,242
delete-node-in-a-linked-list,Medium,1926,598
valid-anagram,Easy,7699,249
binary-tree-paths,Easy,5237,223
add-digits,Easy,2954,1725
missing-number,Easy,8175,3015
move-zeroes,Easy,12015,302
range-sum-query-immutable,Easy,2489,1746
range-sum-query-mutable,Medium,4172,226
power-of-three,Easy,2266,218
odd-even-linked-list,Medium,7588,431
counting-bits,Easy,8156,385
power-of-four,Easy,2777,327
reverse-string,Easy,6577,1028
intersection-of-two-arrays,Easy,4030,2044
intersection-of-two-arrays-ii,Easy,5763,804
guess-number-higher-or-lower,Easy,2553,303
kth-smallest-element-in-a-sorted-matrix,Medium,8469,297
insert-delete-getrandom-o1,Medium,7082,360
ransom-note,Easy,3408,389
first-unique-character-in-a-string,Easy,7075,236
find-the-difference,Easy,3432,403
sum-of-left-leaves,Easy,4111,265
convert-a-number-to-hexadecimal,Easy,1045,185
fizz-buzz,Easy,1334,198
add-strings,Easy,4045,618
n-ary-tree-level-order-traversal,Medium,3201,124
find-all-numbers-disappeared-in-an-array,Easy,7748,417
assign-cookies,Easy,1913,191
repeated-substring-pattern,Easy,4001,363
hamming-distance,Easy,3383,207
island-perimeter,Easy,5220,260
number-complement,Easy,2251,109
max-consecutive-ones,Easy,3719,416
teemo-attacking,Easy,681,66
next-greater-element-i,Easy,5045,311
keyboard-row,Easy,1169,1013
find-mode-in-binary-search-tree,Easy,2684,622
base-7,Easy,586,201
relative-ranks,Easy,823,42
fibonacci-number,Easy,5740,302
detect-capital,Easy,1839,382
minimum-absolute-difference-in-bst,Easy,2530,135
reverse-string-ii,Easy,1376,2912
student-attendance-record-i,Easy,466,28
reverse-words-in-a-string-iii,Easy,4402,215
maximum-depth-of-n-ary-tree,Easy,2325,78
binary-tree-tilt,Easy,1878,2019
reshape-the-matrix,Easy,2905,324
subtree-of-another-tree,Easy,6633,376
distribute-candies,Easy,1126,1228
n-ary-tree-preorder-traversal,Easy,2534,120
n-ary-tree-postorder-traversal,Easy,1971,88
minimum-index-sum-of-two-lists,Easy,1553,353
construct-string-from-binary-tree,Easy,2427,2925
merge-two-binary-trees,Easy,7627,267
average-of-levels-in-binary-tree,Easy,4437,277
two-sum-iv-input-is-a-bst,Easy,5411,235
robot-return-to-origin,Easy,1944,728
image-smoother,Easy,431,1729
second-minimum-node-in-a-binary-tree,Easy,1502,1689
binary-number-with-alternating-bits,Easy,1091,105
search-in-a-binary-search-tree,Easy,4350,160
insert-into-a-binary-search-tree,Medium,4317,154
kth-largest-element-in-a-stream,Easy,3670,2158
binary-search,Easy,7448,161
design-hashset,Easy,2475,232
design-hashmap,Easy,3780,344
to-lower-case,Easy,1374,2512
find-pivot-index,Easy,5625,592
self-dividing-numbers,Easy,1367,355
my-calendar-i,Medium,3717,94
largest-number-at-least-twice-of-others,Easy,873,815
prime-number-of-set-bits-in-binary-representation,Easy,565,487
toeplitz-matrix,Easy,3113,151
jewels-and-stones,Easy,4179,521
minimum-distance-between-bst-nodes,Easy,1958,338
rotate-string,Easy,2408,100
unique-morse-code-words,Easy,2139,1414
number-of-lines-to-write-string,Easy,456,1195
most-common-word,Easy,1439,2805
shortest-distance-to-a-character,Easy,2614,138
goat-latin,Easy,758,1159
positions-of-large-groups,Easy,714,114
flipping-an-image,Easy,2694,216
backspace-string-compare,Easy,5842,267
lemonade-change,Easy,1544,134
transpose-matrix,Easy,2513,415
binary-gap,Easy,492,621
reordered-power-of-2,Medium,1945,399
leaf-similar-trees,Easy,2826,65
middle-of-the-linked-list,Easy,8273,227
projection-area-of-3d-shapes,Easy,463,1262
uncommon-words-from-two-sentences,Easy,1077,150
surface-area-of-3d-shapes,Easy,468,657
monotonic-array,Easy,1846,59
increasing-order-search-tree,Easy,3684,640
sort-array-by-parity,Easy,4026,130
smallest-range-i,Easy,520,1764
reverse-only-letters,Easy,1682,57
sort-array-by-parity-ii,Easy,2127,79
number-of-recent-calls,Easy,868,2588
range-sum-of-bst,Easy,5494,349
valid-mountain-array,Easy,2456,151
delete-columns-to-make-sorted,Easy,436,2108
verifying-an-alien-dictionary,Easy,3222,1039
n-repeated-element-in-size-2n-array,Easy,1077,311
univalued-binary-tree,Easy,1532,59
squares-of-a-sorted-array,Easy,6965,176
vertical-order-traversal-of-a-binary-tree,Hard,5526,3999
cousins-in-binary-tree,Easy,3283,167
available-captures-for-rook,Easy,515,596
find-common-characters,Easy,2769,227
complement-of-base-10-integer,Easy,1747,87
sum-of-root-to-leaf-binary-numbers,Easy,2900,168
maximum-difference-between-node-and-ancestor,Medium,3807,92
recover-a-tree-from-preorder-traversal,Hard,1310,36
matrix-cells-in-distance-order,Easy,577,261
valid-boomerang,Easy,287,422
last-stone-weight,Easy,4016,76
remove-all-adjacent-duplicates-in-string,Easy,5209,204
height-checker,Easy,737,61
greatest-common-divisor-of-strings,Easy,1531,304
duplicate-zeros,Easy,2093,633
defanging-an-ip-address,Easy,1450,1608
relative-sort-array,Easy,2035,117
n-th-tribonacci-number,Easy,2476,133
day-of-the-year,Easy,308,365
find-words-that-can-be-formed-by-characters,Easy,1211,139
distance-between-bus-stops,Easy,614,64
day-of-the-week,Easy,289,2122
maximum-number-of-balloons,Easy,1252,76
minimum-absolute-difference,Easy,1845,62
unique-number-of-occurrences,Easy,3000,65
split-a-string-in-balanced-strings,Easy,2104,812
check-if-it-is-a-straight-line,Easy,1162,170
cells-with-odd-values-in-a-matrix,Easy,918,1276
find-winner-on-a-tic-tac-toe-game,Easy,1120,281
subtract-the-product-and-sum-of-digits-of-an-integer,Easy,1779,203
element-appearing-more-than-25-in-sorted-array,Easy,757,40
convert-binary-number-in-a-linked-list-to-integer,Easy,3300,143
find-numbers-with-even-number-of-digits,Easy,1711,106
replace-elements-with-greatest-element-on-right-side,Easy,1704,180
find-n-unique-integers-sum-up-to-zero,Easy,1498,526
decrypt-string-from-alphabet-to-integer-mapping,Easy,1231,84
decompress-run-length-encoded-list,Easy,955,1190
convert-integer-to-the-sum-of-two-no-zero-integers,Easy,309,250
maximum-69-number,Easy,2276,189
rank-transform-of-an-array,Easy,1250,62
the-k-weakest-rows-in-a-matrix,Easy,2946,174
reduce-array-size-to-the-half,Medium,2867,140
number-of-steps-to-reduce-a-number-to-zero,Easy,2994,141
check-if-n-and-its-double-exist,Easy,1370,151
count-negative-numbers-in-a-sorted-matrix,Easy,2899,87
sort-integers-by-the-number-of-1-bits,Easy,1405,61
number-of-days-between-two-dates,Easy,256,1006
how-many-numbers-are-smaller-than-the-current-number,Easy,4156,83
generate-a-string-with-characters-that-have-odd-counts,Easy,359,1121
find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree,Easy,1396,1732
lucky-numbers-in-a-matrix,Easy,1261,72
create-target-array-in-the-given-order,Easy,1425,1437
find-lucky-integer-in-an-array,Easy,825,24
count-largest-group,Easy,332,758
string-matching-in-an-array,Easy,666,78
html-entity-parser,Medium,152,285
minimum-value-to-get-positive-step-by-step-sum,Easy,1237,257
reformat-the-string,Easy,463,86
maximum-score-after-splitting-a-string,Easy,556,33
kids-with-the-greatest-number-of-candies,Easy,2162,309
destination-city,Easy,1180,61
check-if-all-1s-are-at-least-length-k-places-away,Easy,485,205
build-an-array-with-stack-operations,Medium,99,18
consecutive-characters,Easy,1422,28
count-good-nodes-in-binary-tree,Medium,4401,119
number-of-students-doing-homework-at-a-given-time,Easy,695,139
check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,Easy,640,31
make-two-arrays-equal-by-reversing-subarrays,Easy,863,122
maximum-product-of-two-elements-in-an-array,Easy,1347,175
shuffle-the-array,Easy,3237,210
design-browser-history,Medium,1856,126
final-prices-with-a-special-discount-in-a-shop,Easy,1465,85
running-sum-of-1d-array,Easy,5486,276
xor-operation-in-an-array,Easy,1053,305
average-salary-excluding-the-minimum-and-maximum-salary,Easy,1052,123
path-crossing,Easy,572,11
can-make-arithmetic-progression-from-sequence,Easy,925,56
reformat-date,Easy,320,378
number-of-good-pairs,Easy,3370,176
water-bottles,Easy,790,63
count-odd-numbers-in-an-interval-range,Easy,1241,88
shuffle-string,Easy,1970,340
count-good-triplets,Easy,547,1031
kth-missing-positive-number,Easy,3384,242
make-the-string-great,Easy,2085,93
three-consecutive-odds,Easy,476,49
thousand-separator,Easy,388,21
matrix-diagonal-sum,Easy,1729,25
replace-all-s-to-avoid-consecutive-repeating-characters,Easy,462,152
special-positions-in-a-binary-matrix,Easy,551,20
sum-of-all-odd-length-subarrays,Easy,2819,209
crawler-log-folder,Easy,678,50
design-parking-system,Easy,923,342
special-array-with-x-elements-greater-than-or-equal-x,Easy,1180,186
maximum-nesting-depth-of-the-parentheses,Easy,1217,218
mean-of-array-after-removing-some-elements,Easy,351,95
largest-substring-between-two-equal-characters,Easy,498,29
slowest-key,Easy,631,93
sort-array-by-increasing-frequency,Easy,2049,80
check-array-formation-through-concatenation,Easy,763,124
get-maximum-in-generated-array,Easy,537,728
defuse-the-bomb,Easy,531,52
design-an-ordered-stream,Easy,346,2556
check-if-two-string-arrays-are-equivalent,Easy,1931,170
richest-customer-wealth,Easy,2883,304
goal-parser-interpretation,Easy,1080,75
count-the-number-of-consistent-strings,Easy,1239,53
count-of-matches-in-tournament,Easy,790,136
reformat-phone-number,Easy,253,179
determine-if-string-halves-are-alike,Easy,1550,79
maximum-units-on-a-truck,Easy,3245,183
calculate-money-in-leetcode-bank,Easy,513,16
decode-xored-array,Easy,1114,172
number-of-rectangles-that-can-form-the-largest-square,Easy,441,46
find-the-highest-altitude,Easy,1128,96
sum-of-unique-elements,Easy,1024,22
minimum-changes-to-make-alternating-binary-string,Easy,477,16
merge-strings-alternately,Easy,839,16
count-items-matching-a-rule,Easy,1294,138
find-nearest-point-that-has-the-same-x-or-y-coordinate,Easy,638,128
check-if-binary-string-has-at-most-one-segment-of-ones,Easy,234,713
check-if-one-string-swap-can-make-strings-equal,Easy,768,37
find-center-of-star-graph,Easy,915,115
second-largest-digit-in-a-string,Easy,363,98
maximum-ascending-subarray-sum,Easy,523,17
determine-color-of-a-chessboard-square,Easy,556,15
truncate-sentence,Easy,715,19
sign-of-the-product-of-an-array,Easy,842,110
minimum-operations-to-make-the-array-increasing,Easy,843,39
check-if-the-sentence-is-pangram,Easy,2048,45
sum-of-digits-in-base-k,Easy,374,31
replace-all-digits-with-characters,Easy,558,52
minimum-distance-to-the-target-element,Easy,247,50
maximum-population-year,Easy,846,133
sorting-the-sentence,Easy,1500,43
sum-of-all-subset-xor-totals,Easy,1109,99
longer-contiguous-segments-of-ones-than-zeros,Easy,385,8
substrings-of-size-three-with-distinct-characters,Easy,931,27
check-if-word-equals-summation-of-two-words,Easy,421,24
check-if-all-the-integers-in-a-range-are-covered,Easy,385,72
redistribute-characters-to-make-all-strings-equal,Easy,329,36
largest-odd-number-in-string,Easy,629,53
remove-one-element-to-make-the-array-strictly-increasing,Easy,839,256
maximum-product-difference-between-two-pairs,Easy,620,34
build-array-from-permutation,Easy,2106,237
concatenation-of-array,Easy,1796,258
maximum-number-of-words-you-can-type,Easy,414,19
check-if-all-characters-have-equal-number-of-occurrences,Easy,548,13
sum-of-digits-of-string-after-convert,Easy,421,41
three-divisors,Easy,336,19
check-if-string-is-a-prefix-of-array,Easy,326,55
number-of-strings-that-appear-as-substrings-in-word,Easy,454,21
minimum-time-to-type-word-using-special-typewriter,Easy,475,18
find-greatest-common-divisor-of-array,Easy,668,26
find-the-middle-index-in-array,Easy,842,35
count-special-quadruplets,Easy,437,173
reverse-prefix-of-word,Easy,532,12
count-number-of-pairs-with-absolute-difference-k,Easy,1040,22
find-original-array-from-doubled-array,Medium,2108,106
final-value-of-variable-after-performing-operations,Easy,940,133
maximum-difference-between-increasing-elements,Easy,682,24
convert-1d-array-into-2d-array,Easy,508,37
minimum-moves-to-convert-string,Easy,327,58
two-out-of-three,Easy,480,33
minimum-number-of-moves-to-seat-everyone,Easy,526,93
check-if-numbers-are-ascending-in-a-sentence,Easy,405,15
kth-distinct-string-in-an-array,Easy,502,17
smallest-index-with-equal-value,Easy,259,95
count-vowel-substrings-of-a-string,Easy,636,156
check-whether-two-strings-are-almost-equivalent,Easy,312,12
time-needed-to-buy-tickets,Easy,566,34
two-furthest-houses-with-different-colors,Easy,657,19
count-common-words-with-one-occurrence,Easy,521,12
find-target-indices-after-sorting-array,Easy,1154,51
finding-3-digit-even-numbers,Easy,361,215
delete-the-middle-node-of-a-linked-list,Medium,2576,46
find-subsequence-of-length-k-with-the-largest-sum,Easy,800,77
rings-and-rods,Easy,644,13
find-first-palindromic-string-in-the-array,Easy,647,22
maximum-number-of-words-found-in-sentences,Easy,1086,31
a-number-after-a-double-reversal,Easy,413,25
check-if-all-as-appears-before-all-bs,Easy,504,10
capitalize-the-title,Easy,428,39
check-if-every-row-and-column-contains-all-numbers,Easy,654,37
divide-a-string-into-groups-of-size-k,Easy,335,14
minimum-cost-of-buying-candies-with-discount,Easy,384,12
count-elements-with-strictly-smaller-and-greater-elements,Easy,419,17
keep-multiplying-found-values-by-two,Easy,454,20
minimum-sum-of-four-digit-number-after-splitting-digits,Easy,820,77
sort-even-and-odd-indices-independently,Easy,473,31
count-operations-to-obtain-zero,Easy,407,12
count-equal-and-divisible-pairs-in-an-array,Easy,410,15
count-integers-with-even-digit-sum,Easy,387,19
counting-words-with-a-given-prefix,Easy,422,11
most-frequent-number-following-key-in-an-array,Easy,239,123
cells-in-a-range-on-an-excel-sheet,Easy,360,52
divide-array-into-equal-pairs,Easy,426,16
count-hills-and-valleys-in-an-array,Easy,408,64
find-the-difference-of-two-arrays,Easy,478,22
minimum-bit-flips-to-convert-number,Easy,372,6
find-triangular-sum-of-an-array,Medium,684,31
minimum-number-of-operations-to-convert-time,Easy,313,27
largest-number-after-digit-swaps-by-parity,Easy,369,229
add-two-integers,Easy,729,1957
root-equals-sum-of-children,Easy,623,850
find-closest-number-to-zero,Easy,354,25
calculate-digit-sum-of-a-string,Easy,362,30
intersection-of-multiple-arrays,Easy,400,25
count-prefixes-of-a-given-string,Easy,324,10
remove-digit-from-number-to-maximize-result,Easy,495,25
largest-3-same-digit-number-in-string,Easy,250,16
find-the-k-beauty-of-a-number,Easy,360,22
find-resultant-array-after-removing-anagrams,Easy,397,95
percentage-of-letter-in-string,Easy,287,32
check-if-number-has-equal-digit-count-and-digit-value,Easy,344,35
rearrange-characters-to-make-target-string,Easy,303,23
min-max-game,Easy,343,16
design-a-text-editor,Hard,391,210
strong-password-checker-ii,Easy,217,30
greatest-english-letter-in-upper-and-lower-case,Easy,302,21
count-asterisks,Easy,338,51
check-if-matrix-is-x-matrix,Easy,280,9
decode-the-message,Easy,473,53
evaluate-boolean-binary-tree,Easy,493,10
minimum-amount-of-time-to-fill-cups,Easy,397,56
maximum-number-of-pairs-in-array,Easy,394,12
first-letter-to-appear-twice,Easy,569,27
make-array-zero-by-subtracting-equal-amounts,Easy,581,20
merge-similar-items,Easy,308,10
number-of-arithmetic-triplets,Easy,576,20